algo,bucket,atk_style,fpr,threshold,tpr_clean,tpr_attack,n,file,attack_ratio,attack_seed
kgw,ppl_5_8,char,0.2,0.8485319339365254,0.9816849816849816,0.9597069597069597,273,outputs/wm_eval/kgw/ppl_5_8.csv,0.02,0
kgw,ppl_5_8,token,0.01,2.1878474382131707,0.8974358974358975,0.8168498168498168,273,outputs/wm_eval/kgw/ppl_5_8.csv,0.02,0
kgw,ppl_5_8,token,0.05,1.5276379211183189,0.9633699633699634,0.9120879120879121,273,outputs/wm_eval/kgw/ppl_5_8.csv,0.02,0
kgw,ppl_5_8,token,0.1,1.1532026875219443,0.9743589743589743,0.9413919413919414,273,outputs/wm_eval/kgw/ppl_5_8.csv,0.02,0
kgw,ppl_5_8,token,0.2,0.8485319339365254,0.9816849816849816,0.9560439560439561,273,outputs/wm_eval/kgw/ppl_5_8.csv,0.02,0
kgw,ppl_8_12,char,0.01,2.1878474382131707,0.949438202247191,0.8932584269662921,178,outputs/wm_eval/kgw/ppl_8_12.csv,0.02,0
kgw,ppl_8_12,char,0.05,1.5276379211183189,0.9662921348314607,0.9438202247191011,178,outputs/wm_eval/kgw/ppl_8_12.csv,0.02,0
kgw,ppl_8_12,char,0.1,1.1532026875219443,0.9831460674157303,0.9775280898876404,178,outputs/wm_eval/kgw/ppl_8_12.csv,0.02,0
kgw,ppl_8_12,char,0.2,0.8485319339365254,0.9887640449438202,0.9943820224719101,178,outputs/wm_eval/kgw/ppl_8_12.csv,0.02,0
kgw,ppl_8_12,token,0.01,2.1878474382131707,0.949438202247191,0.898876404494382,178,outputs/wm_eval/kgw/ppl_8_12.csv,0.02,0
kgw,ppl_8_12,token,0.05,1.5276379211183189,0.9662921348314607,0.9438202247191011,178,outputs/wm_eval/kgw/ppl_8_12.csv,0.02,0
kgw,ppl_8_12,token,0.1,1.1532026875219443,0.9831460674157303,0.9662921348314607,178,outputs/wm_eval/kgw/ppl_8_12.csv,0.02,0
kgw,ppl_8_12,token,0.2,0.8485319339365254,0.9887640449438202,0.9887640449438202,178,outputs/wm_eval/kgw/ppl_8_12.csv,0.02,0
kgw,ppl_ge_20,char,0.01,2.1878474382131707,0.9772727272727273,0.9545454545454546,44,outputs/wm_eval/kgw/ppl_ge_20.csv,0.02,0
kgw,ppl_ge_20,char,0.05,1.5276379211183189,1.0,1.0,44,outputs/wm_eval/kgw/ppl_ge_20.csv,0.02,0
kgw,ppl_ge_20,char,0.1,1.1532026875219443,1.0,1.0,44,outputs/wm_eval/kgw/ppl_ge_20.csv,0.02,0
kgw,ppl_ge_20,char,0.2,0.8485319339365254,1.0,1.0,44,outputs/wm_eval/kgw/ppl_ge_20.csv,0.02,0
